MMRstatus,population,gene,xbin,ybin,x_mid,y_mid,n_pat,val,lo,hi,n_pat_arm
MMRd,Myeloid-ISG,ITGAE,"(-40,-35]","(4.38,5.11]",-37.5,4.74116339365427,7,0.00384615384615385,0.00205476405427312,0.00502283580100206,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-40,-35]","(4.38,5.11]",-37.5,4.74116339365427,7,0.00372825186412593,0.0032591369505499,0.00437523333495232,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(20,25]","(3.65,4.38]",22.5,4.01175364078438,5,0.00105708245243129,0.000172176308539945,0.0017162471395881,8
MMRd,Myeloid-ISG,ITGAE,"(0,5]","(3.65,4.38]",2.5,4.01175364078438,8,0.00224267475392562,0.00109201340207295,0.00287241848482763,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(0,5]","(3.65,4.38]",2.5,4.01175364078438,8,0.00209955471799259,0.0015106955816566,0.00302862512608778,8
MMRd,Myeloid-ISG,ITGAE,"(-10,-5]","(2.92,3.65]",-7.5,3.2823438879145,8,0.00148309807201442,0.000766932688883126,0.00286082442547328,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-10,-5]","(2.92,3.65]",-7.5,3.2823438879145,8,0.00206201191127126,0.00125645459036856,0.00274491625123005,8
MMRd,Myeloid-ISG,ITGAE,"(-5,0]","(5.11,5.84]",-2.5,5.47057314652416,6,0.00172816315682402,0.000524187173769405,0.00265904217651306,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-5,0]","(5.11,5.84]",-2.5,5.47057314652416,6,0.00234466887642418,0.000997143547365227,0.00302128269073002,8
MMRd,Myeloid-ISG,ITGAE,"(-10,-5]","(3.65,4.38]",-7.5,4.01175364078438,8,0.00180981247738441,0.00134342520502479,0.00212691975385269,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-10,-5]","(3.65,4.38]",-7.5,4.01175364078438,8,0.00183705349253874,0.00123522241347452,0.00252574362534224,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(45,50]","(2.92,3.65]",47.5,3.2823438879145,5,0.00195694716242661,0.00120048019207683,0.00211864406779661,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(5,10]","(4.38,5.11]",7.5,4.74116339365427,7,0.00104931794333683,0.000398247710075667,0.0028538809429445,8
MMRd,Myeloid-ISG,ITGAE,"(0,5]","(5.11,5.84]",2.5,5.47057314652416,4,0.00120979535018542,0.000809061488673139,0.00199182483049059,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(0,5]","(5.11,5.84]",2.5,5.47057314652416,4,0.00172591810133376,0.00142898434937368,0.0019720155320492,8
MMRd,Myeloid-ISG,ITGAE,"(-15,-10]","(3.65,4.38]",-12.5,4.01175364078438,8,0.0018175641303809,0.00135564254203951,0.0024534860590494,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-15,-10]","(3.65,4.38]",-12.5,4.01175364078438,8,0.00196808265553082,0.00144486211601573,0.00259996433464607,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-95,-90]","(4.38,5.11]",-92.5,4.74116339365427,4,0.00341063111461593,0.0022414193593997,0.00430868214543367,8
MMRd,Myeloid-ISG,ITGAE,"(-15,-10]","(4.38,5.11]",-12.5,4.74116339365427,7,0.0024443237370994,0.00166265512033153,0.0035766314003384,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-15,-10]","(4.38,5.11]",-12.5,4.74116339365427,7,0.00277853538797218,0.0020904164280242,0.00370033719432224,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-95,-90]","[0,0.729]",-92.5,0.364704876434944,7,0,0,0.00105345278595451,8
MMRd,Myeloid-ISG,ITGAE,"(-15,-10]","(5.11,5.84]",-12.5,5.47057314652416,4,0.00301187071391987,0.00230005761211932,0.00340784212242814,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-15,-10]","(5.11,5.84]",-12.5,5.47057314652416,6,0.00339005563324804,0.00116436685646745,0.00436534006362909,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-45,-40]","(4.38,5.11]",-42.5,4.74116339365427,6,0.00331454374808597,0.00174397574455227,0.00463206553610626,8
MMRd,Myeloid-ISG,ITGAE,"(-5,0]","(4.38,5.11]",-2.5,4.74116339365427,7,0.00178392239937563,0.0015055064394346,0.00242458501495623,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-5,0]","(4.38,5.11]",-2.5,4.74116339365427,8,0.00235074401460416,0.00202544788033943,0.00380321642551542,8
MMRd,Myeloid-ISG,ITGAE,"(-20,-15]","(3.65,4.38]",-17.5,4.01175364078438,8,0.00203080426970002,0.00137549376699328,0.00239671103589554,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-20,-15]","(3.65,4.38]",-17.5,4.01175364078438,8,0.00218176744021685,0.00198480811713989,0.00242334404066747,8
MMRd,Myeloid-ISG,ITGAE,"(-5,0]","(2.92,3.65]",-2.5,3.2823438879145,8,0.00213118914457866,0.00177459468661444,0.00241114564287178,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-5,0]","(2.92,3.65]",-2.5,3.2823438879145,8,0.00200869342274768,0.00172513689265899,0.00291480620251261,8
MMRd,Myeloid-ISG,ITGAE,"(-5,0]","(3.65,4.38]",-2.5,4.01175364078438,8,0.00189083279317667,0.00138869821661017,0.00239105804022642,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-5,0]","(3.65,4.38]",-2.5,4.01175364078438,8,0.00226631647770875,0.00137307080443154,0.0028621855071671,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-25,-20]","(5.11,5.84]",-22.5,5.47057314652416,4,0.00199913310372297,0.000864553314121038,0.00311223710828658,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-50,-45]","(3.65,4.38]",-47.5,4.01175364078438,7,0.00235907623541098,0.00154927868297555,0.00404148561433347,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-25,-20]","(3.65,4.38]",-22.5,4.01175364078438,8,0.00244081275985563,0.00123421746139172,0.00290172363128911,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-30,-25]","(3.65,4.38]",-27.5,4.01175364078438,7,0.00301204819277108,0.00253982846790532,0.00334693073871442,8
MMRd,Myeloid-ISG,ITGAE,"(-35,-30]","(3.65,4.38]",-32.5,4.01175364078438,7,0.00129645635263613,0.000481695568400771,0.00334085846055269,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-35,-30]","(3.65,4.38]",-32.5,4.01175364078438,7,0.00211416490486258,0.00147385049093117,0.00255440031536415,8
MMRd,Myeloid-ISG,ITGAE,"(-20,-15]","(5.11,5.84]",-17.5,5.47057314652416,5,0.00205973223480947,0.00153452685421995,0.00286204922724671,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-20,-15]","(5.11,5.84]",-17.5,5.47057314652416,6,0.00220917932287918,0.00165173080302232,0.00300059015627953,8
MMRd,Myeloid-ISG,ITGAE,"(0,5]","(4.38,5.11]",2.5,4.74116339365427,6,0.000478504122497055,0,0.00274272911270889,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(0,5]","(4.38,5.11]",2.5,4.74116339365427,7,0.00263504611330698,0.00173034144981805,0.00355330955747889,8
MMRd,Myeloid-ISG,ITGAE,"(-10,-5]","(4.38,5.11]",-7.5,4.74116339365427,7,0.00249100470523111,0.00154605675424054,0.00282650852490745,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-10,-5]","(4.38,5.11]",-7.5,4.74116339365427,8,0.00252912770339576,0.00161142117046479,0.00329978076022872,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-20,-15]","(2.92,3.65]",-17.5,3.2823438879145,8,0.00228911805827177,0.00160226738154314,0.00289348062457306,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-85,-80]","(3.65,4.38]",-82.5,4.01175364078438,4,0.0022573183241734,0.00205613099514367,0.00476310772747456,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(65,70]","(2.92,3.65]",67.5,3.2823438879145,4,0.0031964870384578,0.00217601547388781,0.00360881409369987,8
MMRd,Myeloid-ISG,ITGAE,"(-20,-15]","(4.38,5.11]",-17.5,4.74116339365427,7,0.00120884590770106,0.000991763282988915,0.00297837712547671,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-20,-15]","(4.38,5.11]",-17.5,4.74116339365427,7,0.0015979081929111,0.00155663645303996,0.00236202113677899,8
MMRd,Myeloid-ISG,ITGAE,"(-30,-25]","(4.38,5.11]",-27.5,4.74116339365427,7,0.00383533623114293,0.00175265038268629,0.00391699890069341,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-30,-25]","(4.38,5.11]",-27.5,4.74116339365427,7,0.00285062713797035,0.00191919659861845,0.00341421366091459,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-20,-15]","(2.19,2.92]",-17.5,2.55293413504461,8,0.00149767723239086,0.000698983702137839,0.00257349448115122,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-50,-45]","(4.38,5.11]",-47.5,4.74116339365427,7,0.00213219616204691,0.00147162752026606,0.00291352108158784,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(25,30]","(3.65,4.38]",27.5,4.01175364078438,5,0.000255558395093279,0,0.000646830530401035,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-55,-50]","[0,0.729]",-52.5,0.364704876434944,8,0.0019408051893628,0.000991395634696522,0.00278260541030679,8
MMRd,Myeloid-ISG,ITGAE,"(5,10]","(3.65,4.38]",7.5,4.01175364078438,6,0.00214579388813849,0.00168204195537014,0.00273616435138223,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(5,10]","(3.65,4.38]",7.5,4.01175364078438,8,0.00268239479699926,0.00182079705188739,0.00413442581531309,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-15,-10]","(2.19,2.92]",-12.5,2.55293413504461,8,0.00262944005820687,0.00124897077060572,0.0030778453900561,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-30,-25]","[0,0.729]",-27.5,0.364704876434944,8,0.00134982927669121,0.000723449406771487,0.00180746818891584,8
MMRd,Myeloid-ISG,ITGAE,"(0,5]","(2.92,3.65]",2.5,3.2823438879145,8,0.00216433659813865,0.00149043621413517,0.00352577576703136,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(0,5]","(2.92,3.65]",2.5,3.2823438879145,8,0.00280151384911722,0.00229444849911525,0.0029363741359273,8
MMRd,Myeloid-ISG,ITGAE,"(-5,0]","(2.19,2.92]",-2.5,2.55293413504461,8,0.00171154045106559,0.0013588642449646,0.0031775384449035,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-5,0]","(2.19,2.92]",-2.5,2.55293413504461,8,0.00212992650027212,0.00129824433699202,0.00271234927218877,8
MMRd,Myeloid-ISG,ITGAE,"(-10,-5]","(1.46,2.19]",-7.5,1.82352438217472,7,0.00236779794790845,0.00143216065593748,0.00271802791546448,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-10,-5]","(1.46,2.19]",-7.5,1.82352438217472,8,0.0012535256750096,0.00107028865064681,0.00274518151418004,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-20,-15]","(1.46,2.19]",-17.5,1.82352438217472,7,0.000877654906090925,0.000767513025682733,0.00258779274407346,8
MMRd,Myeloid-ISG,ITGAE,"(-5,0]","(1.46,2.19]",-2.5,1.82352438217472,6,0.00128710037917721,0.000759716864699231,0.00237765755876764,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-5,0]","(1.46,2.19]",-2.5,1.82352438217472,8,0.00129831525184421,0.0011170748850913,0.00255835654677073,8
MMRd,Myeloid-ISG,ITGAE,"(-30,-25]","(2.92,3.65]",-27.5,3.2823438879145,6,0.00121696450208553,9.76944118796405e-05,0.00270483952126942,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-30,-25]","(2.92,3.65]",-27.5,3.2823438879145,8,0.00172271224996198,0.00112402089521712,0.00348971718297021,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-45,-40]","(3.65,4.38]",-42.5,4.01175364078438,7,0.00233879051119278,0.00115264065896864,0.00282023006235044,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-35,-30]","(4.38,5.11]",-32.5,4.74116339365427,7,0.00177462289263532,0.00154666183019971,0.00215133157568098,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-55,-50]","(3.65,4.38]",-52.5,4.01175364078438,7,0.0024653312788906,0.00198038235784069,0.00479811557747673,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(35,40]","(2.92,3.65]",37.5,3.2823438879145,7,0.00203741433598815,0.000471624470535305,0.00631886617276901,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-65,-60]","(3.65,4.38]",-62.5,4.01175364078438,7,0.00146681334800147,0.00055883761775507,0.00248268537883674,8
MMRd,Myeloid-ISG,ITGAE,"(-10,-5]","(2.19,2.92]",-7.5,2.55293413504461,8,0.00129016354985307,0.000604706333693296,0.00249401596399302,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-10,-5]","(2.19,2.92]",-7.5,2.55293413504461,8,0.0018799890994205,0.00142043652482263,0.00246274400312609,8
MMRd,Myeloid-ISG,ITGAE,"(-25,-20]","(2.92,3.65]",-22.5,3.2823438879145,6,0.00253017889753798,0.00207299186103362,0.00366120152961848,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-25,-20]","(2.92,3.65]",-22.5,3.2823438879145,8,0.00199469419638291,0.00141387878697393,0.00336022667935183,8
MMRd,Myeloid-ISG,ITGAE,"(10,15]","(3.65,4.38]",12.5,4.01175364078438,5,0.000767459708365311,0,0.0029940119760479,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(10,15]","(3.65,4.38]",12.5,4.01175364078438,7,0.00137315482320632,0.000593704495844929,0.00170194921626468,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(30,35]","(1.46,2.19]",32.5,1.82352438217472,5,0.000908265213442325,0.000853606487409304,0.00145348837209302,8
MMRd,Myeloid-ISG,ITGAE,"(-5,0]","(0.729,1.46]",-2.5,1.09411462930483,4,0.000325520833333333,0,0.000663678817820393,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-5,0]","(0.729,1.46]",-2.5,1.09411462930483,6,0.00138405019099162,0.000735061222151995,0.00197377762254565,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(5,10]","(1.46,2.19]",7.5,1.82352438217472,7,0.00159138205410699,0.000927749548617531,0.00227931586356688,8
MMRd,Myeloid-ISG,ITGAE,"(-25,-20]","(4.38,5.11]",-22.5,4.74116339365427,7,0.00179425837320574,0.000615866846941486,0.00325012722398877,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-25,-20]","(4.38,5.11]",-22.5,4.74116339365427,7,0.00317080466646725,0.00223442978524271,0.00348268616306047,8
MMRd,Myeloid-ISG,ITGAE,"(-5,0]","[0,0.729]",-2.5,0.364704876434944,8,0.00295157215507553,0.00231187937204512,0.00356880826139538,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-5,0]","[0,0.729]",-2.5,0.364704876434944,8,0.00301602779249187,0.00158047850073693,0.00368420275541039,8
MMRd,Myeloid-ISG,ITGAE,"(0,5]","(2.19,2.92]",2.5,2.55293413504461,7,0.00210329516242113,0.00179516919240227,0.00291744297367453,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(0,5]","(2.19,2.92]",2.5,2.55293413504461,8,0.00201481696664344,0.00121743709123157,0.00295228396821887,8
MMRd,Myeloid-ISG,ITGAE,"(0,5]","(1.46,2.19]",2.5,1.82352438217472,5,0.00185528756957328,0.0014396256973187,0.0022238695329874,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(0,5]","(1.46,2.19]",2.5,1.82352438217472,7,0.00171526586620926,0.0012470796631218,0.00314865414561532,8
MMRd,Myeloid-ISG,ITGAE,"(15,20]","(2.92,3.65]",17.5,3.2823438879145,5,0.000632911392405063,0.000597728631201435,0.00138312586445367,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(15,20]","(2.92,3.65]",17.5,3.2823438879145,8,0.00168268199616561,0.00134788178784367,0.00224009310674288,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(35,40]","(2.19,2.92]",37.5,2.55293413504461,7,0.00145401672119229,0.000170270730461434,0.00160676903366253,8
MMRd,Myeloid-ISG,ITGAE,"(5,10]","(2.92,3.65]",7.5,3.2823438879145,6,0.00127374264542406,0.000284900284900285,0.00208274026858098,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(5,10]","(2.92,3.65]",7.5,3.2823438879145,8,0.00216872566407763,0.00123070467968963,0.00287751035969748,8
MMRd,Myeloid-ISG,ITGAE,"(-15,-10]","(2.19,2.92]",-12.5,2.55293413504461,7,0.00154718927282104,0.00100760920820833,0.00209027300596872,8
MMRd,Myeloid-ISG,ITGAE,"(-20,-15]","(2.92,3.65]",-17.5,3.2823438879145,7,0.00114695340501792,0.00071606518337301,0.00205628589977765,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(20,25]","[0,0.729]",22.5,0.364704876434944,5,0.000522739153162572,0.000196078431372549,0.00326797385620915,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(30,35]","(2.19,2.92]",32.5,2.55293413504461,7,0.00236686390532544,0.000861899543832486,0.002733031400895,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(20,25]","(2.19,2.92]",22.5,2.55293413504461,6,0.00293912337085777,0.000837296989242084,0.00523551335412183,8
MMRd,Myeloid-ISG,ITGAE,"(-15,-10]","(1.46,2.19]",-12.5,1.82352438217472,6,0.00138447687593675,0.000191570881226054,0.00269429142336999,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-15,-10]","(1.46,2.19]",-12.5,1.82352438217472,7,0.00149503647889009,0.00127063006706963,0.00197880715816293,8
MMRd,Myeloid-ISG,ITGAE,"(-25,-20]","(3.65,4.38]",-22.5,4.01175364078438,6,0.00158092506208544,0.000742881242552105,0.00194741208000194,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-10,-5]","(0.729,1.46]",-7.5,1.09411462930483,6,0.000827980696837174,0.000626285205349074,0.00179919473314772,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(20,25]","(1.46,2.19]",22.5,1.82352438217472,5,0.00193423597678917,0.00149105367793241,0.00241652021089631,8
MMRd,Myeloid-ISG,ITGAE,"(0,5]","[0,0.729]",2.5,0.364704876434944,5,0.00207253886010363,0.00171489817792069,0.00237529691211401,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(0,5]","[0,0.729]",2.5,0.364704876434944,8,0.00198463409156037,0.00120210886687998,0.00245984534497258,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-70,-65]","(2.92,3.65]",-67.5,3.2823438879145,6,0.00185197844390516,0.00116678729556799,0.00206582633053221,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(15,20]","(3.65,4.38]",17.5,4.01175364078438,6,0.00415524639780273,0.00296772155351104,0.00541589205349819,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(10,15]","[0,0.729]",12.5,0.364704876434944,7,0.00207072316024212,0.000644911647104347,0.00385863131814798,8
MMRd,Myeloid-ISG,ITGAE,"(-35,-30]","(2.92,3.65]",-32.5,3.2823438879145,5,0.00138176075799447,0.0011154489682097,0.00221157390342794,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-35,-30]","(2.92,3.65]",-32.5,3.2823438879145,7,0.00166924007845428,0.00128528336844747,0.00248426606336591,8
MMRd,Myeloid-ISG,ITGAE,"(5,10]","(2.19,2.92]",7.5,2.55293413504461,6,0.000797694864486668,0.000133904659882164,0.00285293449078767,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(5,10]","(2.19,2.92]",7.5,2.55293413504461,8,0.00189548339535021,0.00147690508110869,0.00276818792482968,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-35,-30]","(2.19,2.92]",-32.5,2.55293413504461,7,0.00183823529411765,0.00168934230010966,0.00306628766512736,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(25,30]","(2.92,3.65]",27.5,3.2823438879145,7,0.00103986135181976,9.89315393747527e-05,0.00141774389459493,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-35,-30]","[0,0.729]",-32.5,0.364704876434944,8,0.00108955289828659,0.00029221538221772,0.00172277902330319,8
MMRd,Myeloid-ISG,ITGAE,"(-30,-25]","(3.65,4.38]",-27.5,4.01175364078438,6,0.00188971186716909,0.000923136651198368,0.00220336116991042,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-50,-45]","(2.92,3.65]",-47.5,3.2823438879145,6,0.00264863995346707,0.00128057774250196,0.00607875927792541,8
MMRd,Myeloid-ISG,ITGAE,"(-20,-15]","(2.19,2.92]",-17.5,2.55293413504461,7,0.00253991291727141,0.000590696565440398,0.00291732428892844,8
MMRd,Myeloid-ISG,ITGAE,"(-15,-10]","(2.92,3.65]",-12.5,3.2823438879145,8,0.00210556242654335,0.00138709232121785,0.00289266078876132,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-15,-10]","(2.92,3.65]",-12.5,3.2823438879145,8,0.00199923329739908,0.00171392078480399,0.00315114799571778,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(0,5]","(0.729,1.46]",2.5,1.09411462930483,4,0.00134060662689204,0.000699658435465749,0.00300737488723898,8
MMRd,Myeloid-ISG,ITGAE,"(10,15]","(2.92,3.65]",12.5,3.2823438879145,6,0.00260643976998146,0.00148853931573304,0.00411853195236498,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(10,15]","(2.92,3.65]",12.5,3.2823438879145,7,0.00149142431021626,0.00124391037313922,0.00279550936581696,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-75,-70]","[0,0.729]",-72.5,0.364704876434944,7,0.000840866092074837,0,0.00108832162329076,8
MMRd,Myeloid-ISG,ITGAE,"(-40,-35]","(3.65,4.38]",-37.5,4.01175364078438,5,0.00174804801305209,0.00159404888416578,0.00429401363980803,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-40,-35]","(3.65,4.38]",-37.5,4.01175364078438,7,0.00240311093633941,0.00191933616591151,0.00405628994902132,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-45,-40]","(2.92,3.65]",-42.5,3.2823438879145,6,0.00128546949908699,0.00039215971504586,0.0017767893752641,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(15,20]","(2.19,2.92]",17.5,2.55293413504461,7,0.00210687607737981,0.00133874325290059,0.00309686512963293,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(45,50]","[0,0.729]",47.5,0.364704876434944,5,0.00180072028811525,0.000581057524694945,0.00198412698412698,8
MMRd,Myeloid-ISG,ITGAE,"(-35,-30]","(2.19,2.92]",-32.5,2.55293413504461,4,0.00286130128105389,0.00140536504383908,0.0046945067264574,8
MMRd,Myeloid-ISG,ITGAE,"(-40,-35]","(2.19,2.92]",-37.5,2.55293413504461,4,0.00114267670350002,0.000716674629718108,0.00142874681034641,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-40,-35]","(2.19,2.92]",-37.5,2.55293413504461,7,0.00188797986154814,0.00113820814226444,0.00266922604071094,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(20,25]","(2.92,3.65]",22.5,3.2823438879145,5,0.00264594013560443,0.001093693036821,0.00323624595469256,8
MMRd,Myeloid-ISG,ITGAE,"(-35,-30]","[0,0.729]",-32.5,0.364704876434944,4,0.00159254298212893,0.000506756756756757,0.00383300531955815,8
MMRd,Myeloid-ISG,ITGAE,"(-35,-30]","(4.38,5.11]",-32.5,4.74116339365427,6,0.00261193218668589,0.0013871467011957,0.00341944155143043,8
MMRd,Myeloid-ISG,ITGAE,"(-50,-45]","(2.92,3.65]",-47.5,3.2823438879145,4,0.0021589320579027,0.00151615760205408,0.00285701633715897,8
MMRd,Myeloid-ISG,ITGAE,"(-25,-20]","(2.19,2.92]",-22.5,2.55293413504461,6,0.000992678750433931,0.000606644444322811,0.00123260225981745,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-25,-20]","(2.19,2.92]",-22.5,2.55293413504461,8,0.00109845341050554,0.000739085078449511,0.00204091452046896,8
MMRd,Myeloid-ISG,ITGAE,"(-45,-40]","(3.65,4.38]",-42.5,4.01175364078438,4,0.00176658777100028,0.000933416303671437,0.00229051816568777,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(30,35]","(0.729,1.46]",32.5,1.09411462930483,4,0.000256147540983607,0,0.000558680488028096,8
MMRd,Myeloid-ISG,ITGAE,"(-10,-5]","[0,0.729]",-7.5,0.364704876434944,8,0.00235220508658009,0.00141795171147638,0.00390642399622275,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(-10,-5]","[0,0.729]",-7.5,0.364704876434944,8,0.00203234812478645,0.000959132324759246,0.00310371034849172,8
MMRd,Myeloid-ISG,ITGAE,"(10,15]","(2.19,2.92]",12.5,2.55293413504461,4,0.00153711964580143,0.00105513569440506,0.00238323448901758,8
MMRd,Myeloid-noDC-noGran,ITGAE,"(10,15]","(2.19,2.92]",12.5,2.55293413504461,7,0.00143061516452074,0.000852608215795712,0.00292349684702877,8
